Tag Name,Address,Data Type,Scan Rate,Description
磁力搅拌参数设置_C[0].搅拌速度,K0000,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].搅拌速度
磁力搅拌参数设置_C[0].加热温度,K0001,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].加热温度
磁力搅拌参数设置_C[0].时间设置,K0002,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].时间设置
磁力搅拌参数设置_C[0].返回设定速度,K0003,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回设定速度
磁力搅拌参数设置_C[0].返回实际速度,K0004,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回实际速度
磁力搅拌参数设置_C[0].返回设定温度,K0005,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回设定温度
磁力搅拌参数设置_C[0].返回实际温度,K0006,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回实际温度
磁力搅拌参数设置_C[0].返回设定时间,K0007,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回设定时间
磁力搅拌参数设置_C[0].返回实际时间,K0008,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].返回实际时间
磁力搅拌参数设置_C[0].工作模式设置,K0009,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].工作模式设置
磁力搅拌参数设置_C[0].加热模式设置,K0010,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].加热模式设置
磁力搅拌参数设置_C[0].温度单位,K0011,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].温度单位
磁力搅拌参数设置_C[0].加热模式,K0012,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].加热模式
磁力搅拌参数设置_C[0].仪器模式,K0013,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].仪器模式
磁力搅拌参数设置_C[0].安全温度,K0014,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[0].安全温度
磁力搅拌参数设置_C[1].搅拌速度,K0015,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].搅拌速度
磁力搅拌参数设置_C[1].加热温度,K0016,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].加热温度
磁力搅拌参数设置_C[1].时间设置,K0017,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].时间设置
磁力搅拌参数设置_C[1].返回设定速度,K0018,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回设定速度
磁力搅拌参数设置_C[1].返回实际速度,K0019,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回实际速度
磁力搅拌参数设置_C[1].返回设定温度,K0020,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回设定温度
磁力搅拌参数设置_C[1].返回实际温度,K0021,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回实际温度
磁力搅拌参数设置_C[1].返回设定时间,K0022,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回设定时间
磁力搅拌参数设置_C[1].返回实际时间,K0023,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].返回实际时间
磁力搅拌参数设置_C[1].工作模式设置,K0024,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].工作模式设置
磁力搅拌参数设置_C[1].加热模式设置,K0025,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].加热模式设置
磁力搅拌参数设置_C[1].温度单位,K0026,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].温度单位
磁力搅拌参数设置_C[1].加热模式,K0027,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].加热模式
磁力搅拌参数设置_C[1].仪器模式,K0028,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].仪器模式
磁力搅拌参数设置_C[1].安全温度,K0029,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[1].安全温度
磁力搅拌参数设置_C[2].搅拌速度,K0030,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].搅拌速度
磁力搅拌参数设置_C[2].加热温度,K0031,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].加热温度
磁力搅拌参数设置_C[2].时间设置,K0032,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].时间设置
磁力搅拌参数设置_C[2].返回设定速度,K0033,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回设定速度
磁力搅拌参数设置_C[2].返回实际速度,K0034,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回实际速度
磁力搅拌参数设置_C[2].返回设定温度,K0035,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回设定温度
磁力搅拌参数设置_C[2].返回实际温度,K0036,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回实际温度
磁力搅拌参数设置_C[2].返回设定时间,K0037,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回设定时间
磁力搅拌参数设置_C[2].返回实际时间,K0038,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].返回实际时间
磁力搅拌参数设置_C[2].工作模式设置,K0039,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].工作模式设置
磁力搅拌参数设置_C[2].加热模式设置,K0040,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].加热模式设置
磁力搅拌参数设置_C[2].温度单位,K0041,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].温度单位
磁力搅拌参数设置_C[2].加热模式,K0042,short,100,ns=2;s=AI4M.设备 1.磁力搅拌参数设置_C[2].加热模式
