序号,变量名,数据类型
1,S041允许加工,BOOL
2,S041磁搅状态,INT
3,S041磁搅工艺选择,INT
4,S041参数写入完成,BOOL
5,S041加工完成,BOOL
6,磁搅温度反馈_上位机[0],REAL
7,磁搅速度设置_上位机[0],INT
8,磁搅温度设置_上位机[0],INT
9,磁搅时间设置_上位机[0],DINT
10,磁搅安全温度设置_上位机[0],INT
11,S042允许加工,BOOL
12,S042磁搅状态,INT
13,S042磁搅工艺选择,INT
14,S042参数写入完成,BOOL
15,S042加工完成,BOOL
16,磁搅温度反馈_上位机[1],REAL
17,磁搅速度设置_上位机[1],INT
18,磁搅温度设置_上位机[1],INT
19,磁搅时间设置_上位机[1],DINT
20,磁搅安全温度设置_上位机[1],INT
21,S043允许加工,BOOL
22,S043磁搅状态,INT
23,S043磁搅工艺选择,INT
24,S043参数写入完成,BOOL
25,S043加工完成,BOOL
26,磁搅温度反馈_上位机[2],REAL
27,磁搅速度设置_上位机[2],INT
28,磁搅温度设置_上位机[2],INT
29,磁搅时间设置_上位机[2],DINT
30,磁搅安全温度设置_上位机[2],INT
31,S044允许加工,BOOL
32,S044磁搅状态,INT
33,S044磁搅工艺选择,INT
34,S044参数写入完成,BOOL
35,S044加工完成,BOOL
36,磁搅温度反馈_上位机[3],REAL
37,磁搅速度设置_上位机[3],INT
38,磁搅温度设置_上位机[3],INT
39,磁搅时间设置_上位机[3],DINT
40,磁搅安全温度设置_上位机[3],INT
41,S045允许加工,BOOL
42,S045磁搅状态,INT
43,S045磁搅工艺选择,INT
44,S045参数写入完成,BOOL
45,S045加工完成,BOOL
46,磁搅温度反馈_上位机[4],REAL
47,磁搅速度设置_上位机[4],INT
48,磁搅温度设置_上位机[4],INT
49,磁搅时间设置_上位机[4],DINT
50,磁搅安全温度设置_上位机[4],INT
51,S046允许加工,BOOL
52,S046磁搅状态,INT
53,S046磁搅工艺选择,INT
54,S046参数写入完成,BOOL
55,S046加工完成,BOOL
56,磁搅温度反馈_上位机[5],REAL
57,磁搅速度设置_上位机[5],INT
58,磁搅温度设置_上位机[5],INT
59,磁搅时间设置_上位机[5],DINT
60,磁搅安全温度设置_上位机[5],INT
