序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,node_id
,传感器状态_上位机[3].NO[8],BOOL,,OFF,,,固体粉末容器1-1,R10003.8,ns=4;s=上位机通讯|传感器状态_上位机[3].NO[8]
,传感器状态_上位机[3].NO[9],BOOL,,OFF,,,固体粉末容器1-2,R10003.9,ns=4;s=上位机通讯|传感器状态_上位机[3].NO[9]
,传感器状态_上位机[3].NO[10],BOOL,,OFF,,,固体粉末容器1-3,R10003.10,ns=4;s=上位机通讯|传感器状态_上位机[3].NO[10]
,传感器状态_上位机[3].NO[11],BOOL,,OFF,,,固体粉末容器2-1,R10003.11,ns=4;s=上位机通讯|传感器状态_上位机[3].NO[11]
,传感器状态_上位机[3].NO[12],BOOL,,OFF,,,固体粉末容器2-2,R10003.12,ns=4;s=上位机通讯|传感器状态_上位机[3].NO[12]
,传感器状态_上位机[3].NO[13],BOOL,,OFF,,,固体粉末容器2-3,R10003.13,ns=4;s=上位机通讯|传感器状态_上位机[3].NO[13]
,工站状态[6],INT,,0,,,S07状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中,,ns=4;s=上位机通讯|工站状态[6]
102,S071取放料编号,DINT,,0,保持,公有,Robot工位 PC-PLC,R10616,ns=4;s=上位机通讯|S071取放料编号
103,S072取放料产品,DINT,,0,保持,公有,Robot工位 PC-PLC,R10618,ns=4;s=上位机通讯|S072取放料产品
113,S07原点信号,BOOL,,OFF,保持,公有,PC-PLC 机器人可以取放料,R10640.0,ns=4;s=上位机通讯|S07原点信号
114,S07允许加工,BOOL,,OFF,保持,公有,PLC-PC,R10640.1,ns=4;s=上位机通讯|S07允许加工
115,S07工艺选择,INT,,0,保持,公有,PC-PLC 1.粉罐扫码盘点 2.替换粉罐旋转到进料位 3.注粉,R10641,ns=4;s=上位机通讯|S07工艺选择
116,S07参数写入完成,BOOL,,OFF,保持,公有,PC-PLC ,R10640.2,ns=4;s=上位机通讯|S07参数写入完成
117,S07工艺完成,INT,,0,保持,公有,PLC-PC,R10642,ns=4;s=上位机通讯|S07工艺完成
118,S07上下料位置,INT,,0,保持,公有,PC-PLC 机器人取放料粉罐位,R10643,ns=4;s=上位机通讯|S07上下料位置
119,S07粗注粉位置号,INT,,0,保持,公有,PC-PLC 注粉位置号,R10644,ns=4;s=上位机通讯|S07粗注粉位置号
120,S07精注粉位置号,INT,,0,保持,公有,PC-PLC 注粉位置号,R10645,ns=4;s=上位机通讯|S07精注粉位置号
